start_page,last_page,termination,href_count
Astragalus kelikanensis - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,15
"Firth Lake (lanaw sa Kanada, Ontario) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Allotraeus - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Pegunungan Maras - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Göttlesbrunn-Arbesthal - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,19
"San Juan Bautista (lungsod sa Mehiko, Estado de Chiapas, Coapilla) - Wikipedia",https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
Cithaerias songoana - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Anapadi Chal - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Harold Patterson Sports Center - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Pseudomimus burgeoni - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Huai Hin (suba nga anhianhi sa Thayland, Changwat Udon Thani, lat 17,82, long 103,39) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Cortinarius traganus - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Larsenianthus - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
"Chehudo (bungtod, lat -20,86, long 30,81) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Fifteenmile Canyon - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Lake Armington (lanaw) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Patterson Farms Lake Section 13 Dam - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Pulau Kulamboh - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Paspalum culiacanum - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
"Plaridel, Bulacan - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Zabelj (bukid sa Serbiya, lat 43,01, long 20,39) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Lac Ippialuup - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Bibley - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Quebrada Chapcha - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Farmington Bottoms State Natural Area - Wikipedia,https://ceb.wikipedia.org/wiki/Kalendaryong_Gregoryano,-1,6
Locketorp socken - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,19
Assina nulla - Wikipedia,https://ceb.wikipedia.org/wiki/Inglatera,-1,6
Lednik Geograficheskogo Obshchestva - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
"North Terrace Park (parke sa Tinipong Bansa, Minnesota) - Wikipedia",https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
Calycogonium rosmarinifolium - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Kitts Lake (lanaw sa Hastings County) - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,3
Pribești - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Shipman Mountain - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Lake Murray Dam (alihan sa tubig sa Tinipong Bansa, Georgia) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Drino aurifera - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,17
Fischbachtal - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,3
Cupaniopsis parvifolia - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Fuxi He - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Little Branch (suba sa Tinipong Bansa, Alabama, Butler County) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,3
"Storklubben (bungtod sa Noruwega, Finnmark Fylke, Hammerfest, lat 70,56, long 23,41) - Wikipedia",https://ceb.wikipedia.org/wiki/Kinatsila,-1,4
Petit Puy de Dôme - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Cercospora carbonacea - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Río Brazo de San Juan - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Kanga (suba sa Tunga-tungang Aprikanhong Republika, lat 5,84, long 16,24) - Wikipedia",https://ceb.wikipedia.org/wiki/Pinulongang_Romanse,-1,7
Machimus juxta - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Villa Angela Airport - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Odontothrips yunnanensis - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Veluticeps setosa - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,19
Quebrada Cuchillita - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Fuorcla dal Chapütsch - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Danjoutin - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Tennholmen (punta) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,17
Patrizia mascellaroae - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Ave de Azul de la Osa - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Elvasia quinqueloba - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Okse Bay - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Galadima (ward sa Zamfara State, Anka) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,19
Yichun Mingyueshan Airport - Wikipedia,https://ceb.wikipedia.org/wiki/Inglatera,-1,6
Javorsky Creek - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Megaselia sphinx - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
"Suspiro (suba sa Mehiko, Estado de Veracruz-Llave, lat 19,75, long -96,93) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Hibachi Ridge - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Little Kola - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Barauna Minor - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
"Chakūli Kaur (suba nga anhianhi, lat 25,32, long 63,10) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Soil Conservation Service Site 29 Dam (alihan sa tubig sa Tinipong Bansa, Collin County, lat 33,26, long -96,43) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Conotrachelus albomixtus - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,5
Mount Whacogo - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Sphaeridium flavomaculatum - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Jabal Kokosen - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Hartliella - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
North East Point (punta sa Kiribati) - Wikipedia,https://ceb.wikipedia.org/wiki/Hiniusang_Gingharian,-1,4
Trichaeta boguimil - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
Proagonistes lampyroides - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
Potane - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Asclepias labriformis - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Hainbach (suba sa Ostriya) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Sörgrundet (kagaangan) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Gamrole (bukid) - Wikipedia,https://ceb.wikipedia.org/wiki/Pinulongang_Romanse,-1,7
Kuttu (suba) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Obarza zernyi - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Pezilepsis maurigaster - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Boukadi - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Aleochara takashii - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Bhatkal Taluk - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Río Piñar - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Joyces Stream (suba, lat -43,28, long 171,95) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,3
"Blodgett Creek (suba sa Tinipong Bansa, Michigan) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Boreoheptagyia - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,4
Mta Ullu-Tau - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Syndesmogenus leleupi - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
"Limyra (kalapukan sa Noruwega, Nordland Fylke, Hadsel) - Wikipedia",https://ceb.wikipedia.org/wiki/Inglatera,-1,6
Wa‘arat Um Hijlij - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Mella Chela - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Bulu Makaki - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Burlingame (lungsod sa Tinipong Bansa, California) - Wikipedia",https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
"Taytayan Creek (suba sa Pilipinas, Amihanang Mindanao) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Lessinodytes glacialis - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Microthyrium ciliatum - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
Simulium quasifrenum - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Artdouzour - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Hamanasuwan-saki - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Platyscapa innumerabilis - Wikipedia,https://ceb.wikipedia.org/wiki/Kontinente,-1,5
Beinvegdalen - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
"Río Soldados (suba, lat -2,94, long -79,22) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,3
Cividale Mantovano - Wikipedia,https://ceb.wikipedia.org/wiki/Griyego,-1,7
"Desa Dawuhan (administratibo nga balangay sa Jawa Timur, lat -7,49, long 112,15) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,10
"Ain (suba sa Rusya, Irkutskaya Oblast', lat 54,77, long 99,28) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Heitersheim (lungsod) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Veronica undulata - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
"Bald Hill (bungtod sa Ostralya, State of New South Wales, Yass Valley, lat -35,03, long 149,17) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,10
"Seedorf (munisipyo sa Alemanya, Lower Saxony, lat 53,35, long 9,23) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Moon Change Swamp - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,11
Bigaga (suba) - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Donda (suba) - Wikipedia,https://ceb.wikipedia.org/wiki/Kontinente,-1,5
Éourkid (suba nga anhianhi) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Sarcophaga eta - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Heterolophus - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,3
Ochlesis carinatus - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,19
Musa basjoo - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
"Darreh-ye Rāzī Yūl Godan (walog, lat 38,16, long 56,96) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Tindariopsis aeolata - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Leucoloma breviflagellare - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Stone House Lake - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,3
Cassipourea huillensis - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Stenostelma eustegioides - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Pseudomastax gaudens - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Purple Meadow - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Quebrada Lamarhuaycco - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,5
"Annand Brook (suba, lat 45,02, long -63,35) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Kuhaugen (bungtod sa Noruwega, Hordaland Fylke, Sund) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Mycetophila sheni - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Micropsalliota - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Olesnikkarbekken - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Eschen-Bach (suba sa Alemanya, lat 47,61, long 10,94) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,17
Asplenium sikkimbirii - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Lodge Rock - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Nakaranga Island - Wikipedia,https://ceb.wikipedia.org/wiki/Pinulongang_Romanse,-1,4
"Dry Gulch (walog sa Tinipong Bansa, Montana, Silver Bow County, lat 45,99, long -112,74) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Leptogium brebissonii - Wikipedia,https://ceb.wikipedia.org/wiki/Inglatera,-1,6
"Þríhyrningur (mga bungtod sa Islandya, Norðurland Eystra, lat 65,68, long -16,79) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,3
"Easy Creek (suba sa Tinipong Bansa, Virginia) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Mutamuegi - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,5
Winchester Wasteway - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Conocchia - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Ouâdi el Qraîyé - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Wa‘arat al Hafyan - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
Assif n Izine - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Rūdkhāneh-ye Faşlī-ye Gaz Lā - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Xanthooestrus fastousos - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Digitaria myriostachya - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Chilcas - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,3
Walter Hill (bukid) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Pseudoplandria intrastriata - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Amymoma pulchella - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Alma Gulch - Wikipedia,https://ceb.wikipedia.org/wiki/Inglatera,-1,6
Tharād - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,5
"Warren Creek (suba sa Kanada, British Columbia, lat 52,62, long -121,82) - Wikipedia",https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
Septoria dracocephalicola - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Torneuma mateui - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,11
"Arroyo Chico (suba sa Mehiko, Estado de Morelos) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,3
Krogevannsmyran - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
"Conical Hill (bungtod sa Ostralya, State of Western Australia, City of Cockburn) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Hesjedalsberget - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
North Fork Bull River - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Quebrada El Sapo (suba sa Panama) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
"Ozero Chistoye (lanaw sa Rusya, Kurganskaya Oblast', lat 55,26, long 65,01) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Philonthus gilleti - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Tahannaout - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Stark Swamp - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
Wakipompyo - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,3
"Dixie Peak (bukid sa Tinipong Bansa, California) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Adelphocorisella - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Mijatova Jama - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
"Igarapé Jatuarana (suba sa Brasil, Amazonas, lat -7,88, long -59,95) - Wikipedia",https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Padingbüttel (kapital sa munisipyo) - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Włosty Olszanka - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Morelia bredli - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Comuna Sânger - Wikipedia,https://ceb.wikipedia.org/wiki/Inglatera,-1,6
"Fiddle Creek (suba sa Tinipong Bansa, Idaho, Valley County) - Wikipedia",https://ceb.wikipedia.org/wiki/Alemanya,-1,3
Hebeloma politum - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Wooster Square - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Gunung Tungkat - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Aquila nipalensis - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Oro Grueso (suba nga anhianhi) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,17
Helochares steffani - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
"Brown Beach (lapyahan sa Ostralya, State of South Australia, Kangaroo Island) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,3
Lästringe socken - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Çobandede Tepesi (bungtod) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
"Koca Deresi (suba sa Turkeya, Muğla, lat 36,68, long 27,61) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,1
San Juanillo (suba sa Mehiko) - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
"Henderson Park (parke sa Tinipong Bansa, Nevada) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,3
"Île de l'Entrée (pulo, lat 50,49, long -59,46) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Carcinocephalus flavidus - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
Basacantha decora - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Rhabdoblatta javanica - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
Cerro Saguancancha - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Wādī ash Shuqūf - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Susuya - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,3
Tillandsia lydiae - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
"Collins Mountain (bukid sa Tinipong Bansa, Georgia, Bartow County) - Wikipedia",https://ceb.wikipedia.org/wiki/Inglatera,-1,6
Cap des Terres Rouges - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Catanzaro (kapital sa rehiyon) - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
Villarrasa (kapital sa munisipyo) - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,5
Gentianella turkestanorum - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Jalapyphantes cuernavaca - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,10
Pseudosclerodistomoides kurotchkini - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,19
Jebel Souk - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,1
"Turner Creek (suba sa Tinipong Bansa, Iowa, Jasper County) - Wikipedia",https://ceb.wikipedia.org/wiki/Special:Random,-2,2
Desa Dukuhmaja (administratibo nga balangay sa Jawa Barat) - Wikipedia,https://ceb.wikipedia.org/wiki/Pransiya,-1,18
Periscyphis niger - Wikipedia,https://ceb.wikipedia.org/wiki/Kinatsila,-1,6
The Slack - Wikipedia,https://ceb.wikipedia.org/wiki/Special:Random,-2,2
